312 | Scheduled | अनुसूचित
313 | Missed schedule | वेळापत्रक नाही
314 | Y/m/d | Y/m/d
315 | Y/m/d g:i:s A | Y/m/d g:i:s a
316 | Unpublished | अप्रकाशित
317 | Change | बदला
318 | Date | दिनांक
319 | Title | शीर्षक
320 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
321 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
322 | General Settings | सामान्य सेटिंग्ज
323 | File URL | फाईल युआरएल
324 | Featured | वैशिष्ट्यपूर्ण
325 | Bulk Actions | मोठ्या प्रमाणात क्रिया
326 | Screen Content | स्क्रीन सामग्री
327 | ID | आयडी
328 | Description | वर्णन
329 | Parent | पॅरेंट
330 | Overview | आढावा
331 | Themes | थीम्स
332 | No items found. | कोणतेही आयटम आढळले नाहीत.
333 | %s ago | %s पूर्वी
334 | Completed | पूर्ण झाले
335 | Pending | प्रलंबित
336 | Right Now | ताबडतोब
337 | Delete | खोडून टाकणे
338 | Type | टाईप
339 | Slug | स्लग
340 | Text | मजकूर
341 | Attributes | विशेषता
342 | Media | मीडिया
343 | Themes | थीम्स
344 | Installation | प्रतिष्ठापन
